Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49
 43,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,6,1.8,0.130448733646682,0.130449,23.766995,0.01,0,2,2,2,3,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,2,2,3,2,2,2,3,5,3,3,3,1,1,1,3,1,3,1,1,1,1,1,4,4,4,4,1,1,1,6
 44,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,6,2.0,0.141462732713428,0.141463,23.200417,0.01,0,3,3,3,6,3,3,3,3,3,5,3,3,3,3,3,3,1,1,1,1,1,6,3,3,3,6,4,5,5,5,3,3,3,5,3,5,3,3,3,3,3,1,1,1,1,2,3,2,2
 45,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,6,2.3,0.130114787739126,0.130115,25.013089,0.01,0,2,2,2,1,2,2,2,5,2,3,5,2,2,2,2,2,4,4,4,2,2,1,2,2,2,1,6,3,3,3,2,2,5,3,5,3,2,5,2,2,5,4,4,4,4,5,2,5,5
 46,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,6,1.2,0.18802339008613,0.188023,16.782801,0.01,0,1,1,1,1,2,2,2,2,2,2,2,2,2,5,5,5,3,5,5,1,1,1,1,1,1,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,3,1,1,1,4
 47,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,6,1.4,0.137334777603845,0.137335,26.075698,0.01,0,4,4,4,4,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,4,4,4,6
 48,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,6,1.6,0.140206746056076,0.140207,24.363824,0.01,0,1,1,1,1,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,5,2,2,2,3,3,3,2,3,2,3,3,3,3,3,4,4,4,4,3,1,3,6
 49,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,6,1.8,0.108971570118645,0.108972,21.513543,0.01,0,2,2,2,1,2,2,2,2,2,5,2,2,2,2,2,2,3,3,3,1,1,1,2,2,2,1,6,5,5,5,2,2,2,5,2,5,2,2,2,2,2,3,3,3,3,2,2,2,4
 50,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,6,0.8,0.122113992057361,0.122114,22.698105,0.01,0,1,1,1,4,1,1,1,1,1,5,1,1,1,1,1,1,2,2,2,2,2,4,1,1,1,4,6,5,5,5,1,1,1,5,1,5,1,1,1,1,1,2,2,2,2,1,1,1,3
 51,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,6,1.0,0.171908921360108,0.171909,24.363824,0.01,0,2,2,2,2,1,1,1,1,1,5,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,6,5,5,5,1,1,1,5,1,5,1,1,1,1,1,3,3,3,3,1,2,1,4
 52,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,6,1.2,0.0923965613076921,0.092397,26.198214,0.01,0,1,1,1,6,1,1,1,3,1,5,3,1,1,1,1,1,2,2,2,2,2,6,1,1,1,6,4,5,5,5,1,1,1,5,1,5,1,1,1,1,3,2,2,2,2,3,1,3,3
 53,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,3,3.3,0.150924797312047,0.150925,14.872695,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,3,3
 54,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,3,3.7,0.133168116466248,0.133168,14.738994,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3
 55,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,3,4.0,0.135936356563984,0.135936,14.738994,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3
 56,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,3,1.8,0.172715231211005,0.172715,4.322477,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
 57,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,3,2.0,0.13596156264746,0.135962,14.369639,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,1,2,2
 58,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,3,2.3,0.152675750806679,0.152676,13.567508,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
 59,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,3,1.2,0.169263739565487,0.169264,4.322477,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
 60,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,3,1.4,0.109271454875075,0.109271,13.400845,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3
