site,event_start,season,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_preEvent_1d,rain_preEvent_7d,q_event_delta,q_preEvent_mean_1d,time_sinceLastEvent,PET_mmDay,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,Redox_mean_preEvent_6,VWC_mean_preEvent_6
Wade,2019-08-12 19:30:00,summer,-0.8015278088258077,-0.8974393552254887,0.5073667140622896,-0.9012069296513463,1.257901620704817,-1.2799601107994583,-0.1824867041211119,-0.12761694335828042,1.1823625132086606,-0.8498764559917646,-0.6428144952633457,-0.742764649771983,0.13759034274246268,-0.6569701827293545,-0.11575365543152837
Wade,2019-08-17 03:15:00,summer,-0.6994575817774976,-0.2602947945654741,1.1968004555405964,0.6184788360193472,0.1021101227088246,-1.0099431105078245,-0.5203421814670002,0.5319274121544808,1.092523604028483,-1.3784784965368642,-0.9501105349840269,-1.243197676759387,0.34881250322418494,-0.692282420135407,-1.291324165830115
Wade,2019-08-28 14:45:00,summer,0.4519913319686956,-0.402673362113935,-0.013868663742790287,-0.9012069296513463,-1.9116638081381963,-1.0448609187605715,-0.9815927173617284,1.715877855203271,0.41161469392979794,-1.0552091158990298,-0.39676462957639935,-1.0562835600690277,0.6831273676006836,-0.8010908872401966,-2.1747167373902894
Wade,2019-09-01 22:30:00,fall,1.0817377047642507,1.1625400788917555,-0.990984053548014,-0.9012069296513463,-0.18186995687009858,0.04435701954893912,-0.8237791104046944,0.5290851646644459,0.8850916509459926,0.1536323549288515,0.34551314163764957,0.2964304929678822,0.0289156466276766,-0.7398932043623788,-1.641841206000254
Wade,2019-09-04 09:15:00,fall,-0.37592189012687216,-0.1600115035172054,-0.19163731943055404,0.3593462750386166,0.9952554578367966,0.46003674251784615,0.22063555218019604,-0.984323537803198,0.28342863951523234,-0.2886996070193148,-0.31268997098987367,-0.03829717667237288,-0.2562861754517496,-0.6672646379775187,-0.05012059513808128
Wade,2019-09-04 09:15:00,fall,-0.37592189012687216,-0.1600115035172054,-0.19163731943055404,0.3593462750386166,0.9952554578367966,0.46003674251784615,0.22063555218019604,-0.984323537803198,0.28342863951523234,-0.2886996070193148,-0.31268997098987367,-0.03829717667237288,-0.2562861754517496,-0.6672646379775187,-0.05012059513808128
Wade,2019-09-07 16:30:00,fall,0.49660068632584103,-0.05755057732504629,0.27595054510208455,-0.9012069296513463,0.750750959042596,0.6206244081699012,-0.3877989926213422,0.33386229594410677,0.5976020160179605,0.5220231951206287,0.3851512661019465,0.7175736734825969,-0.35514635596235933,-0.7354675357172641,-1.0754802624229782
Wade,2019-09-11 04:00:00,fall,-0.5734724380242695,0.16563193516678681,-0.6592251839631926,-0.9012069296513463,0.4023870089431582,-1.2027204997095993,-0.08956351426023375,0.21256941692064366,-0.8386015906548253,-0.17505700995547413,-0.192031509704441,-0.19927809526728016,0.01847683297968808,-0.7464743477731175,-0.1510480276653466
Wade,2019-09-26 11:15:00,fall,-0.6039772609284095,-0.10317839151119819,-0.990984053548014,-0.24671389473916308,-0.595350024392123,-0.8367437482353547,-0.20938708644704862,-0.1124517118820469,-1.4499261550906337,-0.6724106859703238,-0.9038998795595924,-0.5206915346170491,-0.3306094375086824,-0.5476455863512046,-0.3433059399160157
Wade,2019-09-28 17:15:00,fall,-0.1783713422294741,0.1958149276248259,-0.40189301269432354,-0.9012069296513463,0.049998469675620175,0.19872591435754003,-0.14682454507962117,-0.24552213534147843,-1.615931391636337,-0.042797762596139835,-0.6342232450134994,0.20431746427904762,-0.801992642082661,-0.5026774820400087,-0.3650125491723889
Wade,2019-10-01 16:15:00,fall,2.5253916812094865,-0.03971563996203489,1.4541326268094654,0.6555123612258907,0.2921150936606637,2.210351126056327,0.168382414417141,0.10187185883377411,-0.97667772540732,1.6982850517294659,0.8869202823003991,2.0801901757777754,-1.2458671258718723,-0.616184872902723,-0.02567793831791332
Wade,2019-10-04 00:15:00,fall,-2.3247792030644923,-1.0550572265617129,-2.2579186521981125,-0.9012069296513463,1.8694878733928542,-0.9757741001289117,1.6333977341782504,-0.6812408222310383,-0.7982790926257037,-0.17324677897733765,-0.6349657828205174,0.16437912392613585,-0.7627287956900818,-0.6937741801150141,0.23235216962812485
Wade,2019-10-07 02:00:00,fall,0.8586055714364954,0.1958149276248259,0.3974537214231365,-0.9012069296513463,1.716557639627207,0.9864478481461196,0.42968513073804054,0.3202501700603142,-1.2245677631487555,1.2676444478583908,0.0959908144873153,1.6821377018447157,-1.592755263678551,-0.6732566313722623,0.18438355429291034
Wade,2019-10-16 21:45:00,fall,1.6617371170130983,1.8028970358908267,-0.013868663742790287,-0.9012069296513463,-2.2295764511505114,1.0623772461548784,0.02233983967872143,1.4270993944779653,0.09039156326484112,1.9096281432694473,-0.4693473472615734,2.326627157240224,-2.770295043133756,-0.604893514924788,-0.08668595220113993
Wade,2019-10-22 22:00:00,fall,-0.32400668637660307,-0.7119979596289422,-1.458571918080653,-0.9012069296513463,0.8471045659639763,0.7345097060975428,0.6298128915806025,0.47068494065862354,-0.48394337672744137,0.7722065095573165,-2.1010822613836235,1.0939956650169218,-3.0742620921728,-0.6336479349267722,0.32629920603547385
