site,event_start,season,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_preEvent_7d,q_event_delta,q_preEvent_mean_1d,time_sinceLastEvent,PET_mmDay,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,Redox_mean_preEvent_3,VWC_mean_preEvent_3
Hungerford,2019-03-30 15:45:00,spring,-0.15404455497793104,-1.1683876740411772,-0.3190442128845021,0.3372597400805412,1.3273580810343473,1.7010156809816648,-1.1065761486675807,-0.3928705297316045,1.4537641335159694,0.7581631562647334,0.8982763917859584,-0.5540217810424292,0.9773010717425817,0.7052470878907061
Hungerford,2019-04-02 08:45:00,spring,-2.093990701143951,-1.2253872623962885,-0.7343418559535597,-0.1282273633143684,0.13257706493504326,1.3212305862246116,-1.1247496630741178,1.1065724249400828,1.0720261072247474,0.5530339936043833,-0.5962175677809863,0.9747798314500329,0.9118631627313329,0.6850785639525662
Hungerford,2019-04-05 08:15:00,spring,-1.8650532458839855,-0.7509895619695028,-1.4442978660517591,-0.17524734469076525,-0.3729132959279731,1.0654866178071303,-1.1432979154019867,0.6246849162092426,0.5705994889572713,0.2803071089594364,-1.8573920905558996,2.2076503807691825,0.8488466707829174,0.6614773606810477
Hungerford,2019-04-05 08:15:00,spring,-1.8650532458839855,-0.7509895619695028,-1.4442978660517591,-0.17524734469076525,-0.3729132959279731,1.0618078922732017,-1.1432979154019867,0.6246849162092426,0.5705994889572713,0.2803071089594364,-1.8573920905558996,2.2076503807691825,0.8488466707829174,0.6614773606810477
Hungerford,2019-04-07 13:45:00,spring,0.10164210416577747,1.1728457162592911,-0.3190442128845021,-1.322979739860835,0.5737455118039915,1.0394337942144134,-1.1432979154019867,0.561266288118486,1.5208373228158154,1.2725480886247125,0.7823954146101519,-0.13070908440111748,0.7887548384019926,0.6850785639525662
Hungerford,2019-04-07 13:45:00,spring,0.10164210416577747,1.1728457162592911,-0.3190442128845021,-1.322979739860835,0.5737455118039915,1.0388467689996854,-1.1432979154019867,0.561266288118486,1.5208373228158154,1.2725480886247125,0.7823954146101519,-0.13070908440111748,0.7887548384019926,0.6850785639525662
Hungerford,2019-04-12 14:30:00,spring,-1.6779977248724527,-3.1659476319921884,-0.3190442128845021,0.05463008765280631,-0.39550756063622056,0.7693439086538059,-0.5828392163442783,0.9010208481922366,0.38020705113771636,0.23558969374928637,-0.30768777995173874,0.4744224688212954,0.6815426909155747,0.7115382424023546
Hungerford,2019-04-14 18:15:00,spring,-0.09755515521161848,0.4501246069917329,0.20416893992938687,0.08018965897961709,0.33569318099115114,0.8412127612291178,-1.0887625295917693,0.3002266920376038,0.46429889547966474,0.37324632215883885,0.19477401872725494,-9.569771321657609e-5,0.40299657846921555,0.664853677042408
Hungerford,2019-04-14 18:15:00,spring,-0.09755515521161848,0.4501246069917329,0.20416893992938687,0.08018965897961709,0.33569318099115114,0.8412127612291178,-1.0887625295917693,0.3002266920376038,0.46429889547966474,0.37324632215883885,0.19477401872725494,-9.569771321657609e-5,0.40299657846921555,0.664853677042408
Hungerford,2019-04-19 20:00:00,spring,0.613589534847406,0.3438894187845792,0.3909117972136976,-0.012065352328435013,1.1674199861915753,0.5452664349173608,0.14272263268369587,0.30152207031150463,0.7099455358266871,0.6045658655631932,0.6798239302933624,-0.40159824043477393,0.13016383866107306,0.6802615555265117
