date,site,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE
2014-06-15,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.14,NA,NA,NA,NA
2014-06-16,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-17,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-18,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.52,NA,NA,NA,NA
2014-06-19,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-06-20,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-21,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-22,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-23,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-24,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-25,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,1.05,NA,NA,NA,NA
2014-06-26,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.48,NA,NA,NA,NA
2014-06-27,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-06-28,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-29,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-30,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-01,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-07-02,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.09,NA,NA,NA,NA
2014-07-03,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-04,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.47,NA,NA,NA,NA
2014-07-05,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.07,NA,NA,NA,NA
2014-07-06,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-07,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-08,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.19,NA,NA,NA,NA
2014-07-09,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.58,NA,NA,NA,NA
2014-07-10,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-11,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-12,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-13,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-14,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.14,NA,NA,NA,NA
2014-07-16,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.28,NA,NA,NA,NA
2014-07-17,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-18,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-19,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-20,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-21,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-22,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-23,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-24,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.48,NA,NA,NA,NA
2014-07-25,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-26,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-27,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-07-28,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.68,NA,NA,NA,NA
2014-07-29,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,1.32,NA,NA,NA,NA
2014-07-30,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-07-31,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.04,NA,NA,NA,NA
2014-08-01,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.04,NA,NA,NA,NA
2014-08-02,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-03,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-04,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.37,NA,NA,NA,NA
2014-08-05,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.01,NA,NA,NA,NA
2014-08-06,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.03,NA,NA,NA,NA
2014-08-07,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.37,NA,NA,NA,NA
2014-08-08,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.11,NA,NA,NA,NA
2014-08-09,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-10,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-11,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-12,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-13,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-08-14,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,1.24,NA,NA,NA,NA
2014-08-15,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
