site,event_start,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,cluster,DOY,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,API_4d,solarRad_4d,q_4d,q_mm,NO3_1d,SRP_1d,turb_event_max,DO_pre_wet_15cm,Redox_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,multipeak,PET_mmHR,diff_airT_soilT
Wade,2018-07-25 22:15:00,summer,0.021802321261459316,2.932164423685388e-4,164.42451898885108,0.14739800372448503,6,206,38.800000000000004,20.75,0.44000000000000006,0.03104,46.125141250000006,90.03211805555556,3.9870391536458424e-4,0.06824481952095808,0.42998241497931394,0.0020506149130280404,10.985999999999999,0.7342596561337351,0.4868008121589493,0.9450527590179991,0,35.99652777777778,0,0.0251,6.157248263888885
Wade,2018-07-27 20:45:00,summer,0.014030790898763225,2.410539720408228e-4,128.712292507794,0.10642706912117963,6,208,10,1.5,0.24,0.10526315789473684,45.88572750000001,103.89930555555556,0.003809435726562501,0.053590625299401194,0.2893157490309285,0.0029097130929182694,7.9559999999999995,0.4745276715621908,0.5845212220522062,0.997997914689484,0.5694749805200636,0.7951388888888888,0,0.0677,2.090729166666666
Wade,2018-08-17 23:45:00,summer,0.2560245808704009,0.010348832571168875,54.70694566770411,51.46672630193382,6,229,31.6,13.75,0.5599999999999999,0.038072289156626506,42.282275,88.73958333333333,7.876157786458343e-4,1.567662920784431,0.29862227768037025,0.0026703982986785594,108.71266666666666,0.5455672678600776,0.5129473779781638,1,0.3262850995287688,20.43402777777778,0,0.0011,-1.5950781250000006
Wade,2018-09-03 14:45:00,fall,0.5354531070728092,0.016685433426327608,70.96367787595725,136.56720999577178,6,246,51.8,5.916666666666667,0.76,0.1438888888888889,51.8,78.20052083333333,5.998918541666677e-4,2.9399847985508982,0.30732093345930356,0.0027719484385965447,127.91400000000002,0.7047315930525949,0.5208627091817906,0.94300063831191006,0.20759261892736247,15.48263888888889,0,0.1824,6.316006944444442
Wade,2018-09-11 01:15:00,fall,0.013927735906677377,3.9878775397339777e-4,77.2308607464208,0.17186251034135927,6,254,13.200000000000001,24.416666666666668,0.04,0.008979591836734694,13.200000000000001,78.29947916666667,0.0012844648541666674,0.0823138719251497,0.21687850293974867,0.0025670688792463234,8.11,0.7755434225752091,0.5290381681071235,0.8118440521089509,0.24253211982801517,6.871527777777778,0,4e-4,-5.275920138888889
Wade,2018-10-02 03:00:00,fall,1.2162407722495765,0.07560397314639389,35.573541598292785,16.00083357473136,1,275,25.200000000000003,28.416666666666668,0.16,0.01473684210526316,33.033795000000005,52.57725694444444,0.10682501455989583,11.848827071856288,0.12239309937863042,0.003829133950364601,4.866,0.6627494617732134,0.4794268931194624,0.6915631744644489,0.44388540690101086,4.645833333333333,0,4e-4,-4.34040798611111
Wade,2018-10-06 22:45:00,fall,0.12138756272488037,0.00918537452467975,29.223315578277113,0.3873933752974132,1,279,8.200000000000001,19.833333333333332,0.08,0.006861924686192469,10.3777325,40.140625,0.41170174286067707,2.0019773210658682,0.09821635607813126,0.0038059089885476467,0.3746666666666667,0.512414613256005,0.606726132493354,0.6259159574964605,0.34032828429756357,3.3506944444444446,0,5e-4,-3.225572916666666
Wade,2018-10-11 07:15:00,fall,0.04274686788813222,0.12320917596556287,0.7672085098358371,11.640327441784182,1,284,20.2,12.666666666666666,0.44000000000000006,0.026405228758169936,23.673722499999997,30.9609375,0.15295479438020834,10.49335631571557,0.006743452255094629,0.004785436643808091,4.199333333333334,0.544830845729662,0.6425374181520933,0.8065884799879799,0.420177625853954,2.392361111111111,0,0.0014,5.729713541666667
Wade,2018-10-15 18:30:00,fall,0.0425212187412259,0.007925047782840427,11.864678641567789,0.2976736539556886,1,288,3.8000000000000003,6,0.08,0.010410958904109589,12.133684999999998,44.45225694444444,0.6352929968242188,1.5531923618083832,0.03597879598609922,0.004414483651674342,0.2986666666666667,0.5232696872479277,0.4664080786143475,0.5994917199938643,0.4875688822794002,2.9166666666666665,0,0.0118,-6.3268402777777775
Wade,2018-10-23 11:45:00,fall,0.16968598833189882,0.009551062396787938,39.286782758955674,NA,1,296,10.4,24.666666666666668,0.12,0.007003367003367003,11.35,49.307291666666664,0.11560860250390625,2.7190355736556886,0.061185221325039355,0.00307281693679207,0.5913333333333333,0.8340893153999931,0.517621245843406,0.3943639634689503,0.34419902727348084,6.315972222222222,0,0.0036,-6.283038194444444
Wade,2018-10-27 14:45:00,fall,0.6489714221731238,0.03819369861027692,37.57387804760611,2.8308681512862575,1,300,18.2,54.5,0.12,0.005557251908396947,26.90373375,33.05555555555556,0.1681197980390625,8.774868246359281,0.08689419484883855,0.003173132566371705,0.656,0.8004605482969828,0.5105903350415482,0.23708340063209452,0.4452297227390202,1.3159722222222223,1,0.0483,-5.817725694444444
Wade,2018-10-31 13:00:00,fall,0.993878362014827,0.03272801298595773,67.15305303115677,4.377021587547287,1,304,8.4,14.416666666666666,0.12,0.009655172413793104,23.5033375,20.71875,0.4583427948567708,6.969937878,0.11054639609821963,0.003820858603830767,1.1079999999999999,0.7011326158790673,0.5955664372827094,0.24636275460717752,0.7238577511796518,0.4375,0,0.0168,-5.198541666666667
