site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_mm,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_30cm,PET_mmHR,diff_airT_soilT,gw_1d_well1,gw_1d_well2,gw_1d_well3,gw_1d_well4a,gw_1d_well5,gw_1d_allWells,gw_4d_well1,gw_4d_well2,gw_4d_well3,gw_4d_well4a,gw_4d_well5,gw_4d_allWells
Wade,water,2018-10-06 22:45:00,fall,3,3,4,0.315403112,0.22648363449999998,0.02013187862222222,2.0019773210658682,8.200000000000001,19.833333333333332,0.08,10.04335625,40.140625,0.41170174286067707,0.6259159574964605,0.3841442714720207,5e-4,-1.5227256944444445,-0.311236425828125,-0.0787131195,0.00437932640625,-0.07611500963020833,-0.3531146116510417,0.7178658865835427,-0.21958373078385415,-0.07396057592057291,0.011466781485677084,-0.06503419762239583,-0.1733242223971354,0.8333004308633176
Wade,water,2018-10-11 07:15:00,fall,3,1,6,2.819219394,2.714465966,0.18403159091525426,10.49335631571557,20.2,12.666666666666666,0.44000000000000006,21.393105,30.9609375,0.15295479438020834,0.8065884799879799,0.4613213763991578,0.0014,5.4500954861111115,-0.33368224670833335,-0.09716683402083333,-0.015521194723958333,-0.09749992591666666,-0.4164218766510417,0.6378021348498556,-0.22965893096484374,-0.08606741211588542,-0.0017990087187500002,-0.0887804065234375,-0.24198960354166668,0.7634072379478871
Wade,water,2018-10-15 18:30:00,fall,3,3,4,0.291133891,0.161259205,0.015358019523809522,1.5531923618083832,3.8000000000000003,6,0.08,7.40954875,44.30381944444444,0.6352929968242188,0.5994917199938643,0.6401369782922435,0.0118,-6.0384375,-0.2716975477864583,-0.07376066894270833,0.0070781258177083336,-0.077213091203125,-0.38154171495833333,0.7294256207743656,-0.1923733296796875,-0.07113831620963541,0.013738196604166667,-0.07080552038411458,-0.21240104501041668,0.8312789819306536
Wade,water,2018-10-23 11:45:00,fall,3,3,4,0.2853957935,0.2092174345,0.009731043465116279,2.7190355736556886,10.4,24.666666666666668,0.12,11.35,49.94965277777778,0.11560860250390625,0.3943639634689503,0.3525583253073726,0.0036,-5.659253472222222,-0.298327866859375,-0.07511929872395834,0.021359879567708333,-0.08089055505208333,-0.47681772999479166,0.6949972868904586,-0.2966833893333333,-0.07696951668619792,0.0105642841796875,-0.08563928419921875,-0.46112244101041666,0.6857183706169023
Wade,water,2018-10-27 14:45:00,fall,3,3,4,0.92222833,0.8163042220000001,0.013835664779661019,8.774868246359281,18.2,54.5,0.12,26.362661249999995,28.734375,0.1681197980390625,0.23708340063209452,0.5662903033374764,0.0483,-5.560295138888889,-0.22937504994270833,-0.066666724109375,0.025744922421875,-0.07902606831770834,-0.34118756660416666,0.7782037268531907,-0.16848698332942708,-0.06499065497135417,0.027550978192708332,-0.0793033473359375,-0.18752621277734374,0.8610691178773263
Wade,water,2018-10-31 13:00:00,fall,3,3,2,2.167931258,1.8993303789999998,0.1117253164117647,6.969937878,10.200000000000001,27.666666666666668,0.12,25.26859125,18.881944444444443,0.4583427948567708,0.24636275460717752,0.8557056713228002,0.0168,-4.994409722222223,-0.14190644148958334,-0.062375128239583334,0.028542042203125,-0.08008363722916667,-0.13792184418229167,0.8817139660094738,-0.1275261415768229,-0.06067201635026042,0.027450970888020832,-0.07828018959114584,-0.10948421158723959,0.9097720207688798
Wade,water,2018-11-01 15:30:00,fall,3,3,4,3.298636089,2.108589439,0.172129750122449,19.951188551973054,26.6,35.5,0.08,37.37805875,17.977430555555557,0.7143845405625,0.31464597478176526,0.849843523395161,0.0619,-0.3427083333333334,-0.10784383076041666,-0.060255197489583336,0.026494082250000002,-0.08354205635416667,-0.06404171828645833,0.9165950780068554,-0.12438940784114584,-0.0624857784609375,0.026418101356770834,-0.08263180205338541,-0.10512887898437501,0.9062476505479564
Wade,water,2018-11-03 01:30:00,fall,3,3,4,3.701824901,1.122495078,0.08634577523076924,28.916578401332334,29,40.916666666666664,0.16,59.54155,15.0234375,1.4758622775039063,0.3736178467507275,0.8513090603770707,4e-4,-0.1437847222222226,-0.10088540665625,-0.05689054925520833,0.028291122119791668,-0.0642449948125,-0.034354120885416665,0.9470312812979337,-0.1156016305625,-0.059496110618489584,0.027838331216145835,-0.0759104183203125,-0.07998695065104167,0.9279457459970254
Wade,water,2018-11-05 16:30:00,fall,3,3,4,3.106681314,2.422026304,0.09498142368627452,23.455697271547905,9.4,47.333333333333336,0.12,55.523354999999995,16.77951388888889,2.4091560934570313,0.22153249272550923,0.848377986413251,0.0225,-4.236736111111112,-0.12044270001041667,-0.05736438766666667,0.033822783411458335,-0.08052624733333333,-0.086859255921875,0.9156357050345936,-0.10249608771614584,-0.054445218625,0.032215749273437504,-0.06592734104427084,-0.04453379483854167,0.961999227785195
Wade,water,2018-11-09 17:15:00,fall,3,3,4,2.282817198,1.923939738,0.10542135550684932,9.005615140634731,17,21.583333333333332,0.08,23.696098749999997,29.348958333333332,1.2771115176315104,0.3348342294633585,0.7167209522569942,0.0251,-3.9309201388888892,-0.16636473486979167,-0.058468789114583336,0.022828635432291668,-0.08232335383333333,-0.14282810916145833,0.871099480378268,-0.13496102617447917,-0.06260672627994791,0.025007574998697917,-0.08673076788802084,-0.11831119957942708,0.8936716367748743
Wade,water,2019-04-03 10:30:00,spring,4,5,2,2.50054601321007,1.4981853477343898,0.18727316846679873,12.370277292482529,0,0,0,12.464166249999998,102.28732638888889,0.7171385183234547,0.0021338506304558707,0.6775494827646298,0.3394,3.1788541666666665,-0.164171860828125,-0.08088538584895834,0.0195573,-0.08632286252604167,-0.09394789500520834,0.8547897729475675,-0.13804424575651042,-0.08266667518880208,0.017166782648648647,-0.07493098448198199,-0.08747782101692708,0.8791815057464829
Wade,water,2019-04-05 00:45:00,spring,4,5,2,2.29840347220132,1.4484042109170447,0.16553190981909083,4.756549474440659,0,0,0,2.8464849999999995,124.6171875,1.1884394285575148,0.0074779370512751235,0.6754394715822528,2e-4,-3.7139583333333333,-0.13099999249479166,-0.08740103084375,0.012869820796875,-0.09427080836458333,-0.10626564831770834,0.843836556422975,-0.13099738054036458,-0.08210284709895833,0.0177903822421875,-0.08407551873046876,-0.08688409746223959,0.8768125549686447
Wade,water,2019-04-06 12:30:00,spring,4,5,2,1.41077027797576,0.40840961250008,0.05445461500001067,6.044358280420615,0.8,2.9166666666666665,0.04,3.62290125,112.77951388888889,1.4984002031226749,0.007664629025076015,0.6503812161169387,0.0206,1.2381250000000001,-0.13930206251041666,-0.08199476338541667,0.016932262546875,-0.08482294247916666,-0.103364579171875,0.85790408529904,-0.1407239445846354,-0.08374216439192708,0.01571875625,-0.08943487251692708,-0.09901822312109375,0.8615388701595155
Wade,water,2019-04-07 12:15:00,spring,4,4,1,3.02399543779714,1.9163413113213301,0.054752608894895145,49.60574995003446,14.8,41.833333333333336,0.08,18.039975000000002,86.96006944444444,1.3748083745833573,0.005984401260867978,0.6696565661557763,0.28,0.5554861111111111,-0.14480739322916666,-0.076500001671875,0.016833280895833334,-0.08699479497395833,-0.09504169828125,0.8641654826204479,-0.13613543434895833,-0.08278254480208333,0.014945298977864584,-0.08965233604296875,-0.09946355144140626,0.8636546106958711
Wade,water,2019-04-11 06:15:00,spring,4,5,2,1.727749807265565,0.47024290029686,0.188097160118744,1.3137249902053978,0,0,0,12.785717499999999,43.55034722222222,2.4703257647450476,0.008971472841682268,0.6906072447665467,0.01,-4.0196875,-0.17618744252604165,-0.07701564666145833,0.020281211703125,-0.06189062580729167,-0.094979168328125,0.8718964757837694,-0.12609176114973958,-0.07317168589713542,0.020427674611979165,-0.07332948633072917,-0.07420371413541667,0.9043224782181604
