Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100,obs101,obs102,obs103,obs104,obs105,obs106,obs107
31,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.064992326899092,0.064992,57.450408,0.01,0,2,3,3,2,3,2,1,3,3,3,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,3,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,4,1,2,2,1,2,1,4
32,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0590839556582148,0.059084,65.419035,0.01,0,1,1,1,1,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,2,3,3,3,4,3,4,2
33,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0521345330986571,0.052135,51.17175,0.01,0,3,3,3,3,3,2,2,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,2,2,4,2,2,2,1,2,1,4
34,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0470890534790056,0.047089,58.730043,0.01,0,1,1,1,1,1,3,4,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,1,1,1,1,1,1,1,1,3,4,1,4,4,3,4,3,3,3,3,4,4,4,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,4,3,3,4,3,4,2
35,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0539946080715085,0.053995,60.653577,0.01,0,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,2,2,2,4
36,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.063133259339552,0.063133,60.447923,0.01,0,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,3,3,3,2,2,2,2,3,2,4,4,3,4,3,4,3,3,3,3,4,2,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,5,2,2,1,2,2,2,5
37,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0610537970231614,0.061054,68.439972,0.01,0,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,4,3,4,3,4,4,4,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,2,3,2,3,5
38,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0486664573090966,0.048666,54.774117,0.01,0,2,4,4,2,2,2,5,4,2,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,2,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,5,2,2,2,2,2,2,5,5,5,5,2,5,1,1,2,1,2,1,1,2,2,2,1,5,1,2,5,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,5,5,2,5,5,5,3
39,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0479117463028092,0.047912,62.496541,0.01,0,4,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,3,3,3,2,3,2,5
40,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0505284395333186,0.050528,69.517449,0.01,0,1,1,1,1,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,5,5,5,4,5,5,5,4,5,4,5,4,4,4,5,5,5,4,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,5,3,5,2
