site,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_mm,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,VWC_pre_dry_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,PET_mmHR,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells
Hungerford,2019-03-28T13:15:00Z,spring,3,1,4,8.34093944019753,6.58194795550232,0.18805565587149486,20.282099199377207,2.4000000000000004,27.583333333333332,0.08,2.5629012500000004,230.39756944444446,2.381350734659846,0.14874345272736889,0.0021048200378867604,0.7216795626633874,0.34375,0.2855,NA,-0.23654114057239056,NA,-0.9720574494949494,0.6868183402023718,NA,-0.23454440235690235,NA,-0.9028427083333334,0.6995513363135413
Hungerford,2019-03-30T19:45:00Z,spring,3,1,4,9.31432113458902,5.66348011794296,0.22882747951284688,26.938151894197766,10.4,3.9166666666666665,0.12,12.684275000000001,122.74131944444444,3.5509009325321466,0.15585418760912118,8.419280151547049e-4,0.71202280343083,0.041666666666666664,0.0866,-0.6928831018518519,-0.22466624579124578,-0.3673499579124579,-0.7000090214646465,0.8014618457062596,-0.6775982823155412,-0.22924842829335018,-0.34877759677998255,-0.8308207917718855,0.7462810637492557
Hungerford,2019-04-02T12:45:00Z,spring,3,1,4,4.13697307439294,1.53702295177238,0.04044797241506263,18.655893569227274,1.2000000000000002,1.1666666666666667,0.08,10.213766249999999,104.68402777777777,5.229384464005893,0.3752711496746203,8.419280151547049e-4,0.7494978126336296,0.020833333333333332,0.2361,-0.7234093728956229,-0.23300667087542087,-0.4307336574074074,-0.7315795991161617,0.7659822924932167,-0.6984656902356903,-0.226496985479798,-0.3814520643939394,-0.6342961923926768,0.8009844506323611
Hungerford,2019-04-05T12:15:00Z,spring,3,1,4,2.90401298734983,0.8852081790015802,0.02360555144004214,11.514341546881909,1.8,5.5,0.04,3.3617999999999997,211.63368055555554,3.291355478806129,0.5215491243849532,0.0029697007690245897,0.777805115749509,0,0.2302,-0.7429471801346801,-0.24138636363636362,-0.45142887205387205,-0.8206009132996632,0.724018669143297,-0.7268958775252525,-0.23347799347643097,-0.43456441182659933,-0.7851946154250842,0.728465821182069
Hungerford,2019-04-07T17:45:00Z,spring,2,2,3,4.97967033427245,2.4878406758299003,0.04585881430101199,28.73437785203534,13.200000000000001,55.75,0.12,15.339875000000001,144.76041666666666,2.8556656176982695,1,0.007046236107855989,0.8110137522567971,0,0.3661,-0.7431285774410774,-0.23911395202020203,-0.4474212962962963,-0.8740992213804714,0.7071293545234403,-0.7393988320707071,-0.2387138310185185,-0.4491590119949495,-0.8420114162457912,0.7016428402902368
Hungerford,2019-04-12T18:30:00Z,spring,2,2,3,2.78885680334686,0.8636430524156702,0.04264903962546519,9.586551876978655,2.6,35,0.12,8.018609999999999,135.55208333333334,3.256519343319732,0.9920427490608962,0.06187868989170278,0.9294020511695735,0.8645833333333334,0.2183,-0.7287109638047138,-0.2136305765993266,-0.4242026515151515,-0.8711223695286195,0.7233908437033766,-0.7218496327861953,-0.21360783985690235,-0.41482063762626264,-0.7920802317445286,0.7374311716783618
Hungerford,2019-04-14T22:15:00Z,spring,2,2,3,3.85798735104459,1.9185382065102399,0.12377665848453161,10.394642749975572,11.200000000000001,25,0.2,13.366000000000001,180.4375,2.3669564161285943,0.9624146870535949,0.16717887761242667,0.9333231673672581,0.0625,0.0041,-0.714372159090909,-0.20133627946127947,-0.4096934974747475,-0.8525096801346801,0.7393991389448787,-0.7198833385942761,-0.20676154776936026,-0.41269938973063974,-0.8479794560185185,0.7211347085219679
Hungerford,2019-04-20T00:00:00Z,spring,2,2,3,6.37668908078291,4.75622552242092,0.4135848280366017,13.166803976191888,22.400000000000002,22.166666666666668,0.24,23.312000000000005,128.68229166666666,1.9233531573194913,0.939107278274518,0.17933323172820959,0.9269479344888523,3.1770833333333335,4e-4,-0.7314186658249158,-0.2114029882154882,-0.4229207702020202,-0.9115207281144782,0.7098334092344846,-0.7238782736216329,-0.20849892019149832,-0.4202751354692761,-0.8805966277356903,0.7068514472876068
Hungerford,2019-04-24T03:00:00Z,spring,2,2,3,2.22895531561779,0.5367300586640902,0.018668871605707484,8.42634431536082,7.2,27.25,0.08,23.978828749999998,173.6796875,2.7518317293000134,0.963197714406645,0.35924581728383187,0.9260225001200377,2.2708333333333335,0.0071,-0.7324732744107744,-0.2064297138047138,-0.4284369739057239,-0.8755111531986532,0.7218725979475995,-0.7178789720117845,-0.1995178872053872,-0.40063702125420875,-0.7689432957175926,0.7534131857080093
Hungerford,2019-04-26T15:45:00Z,spring,2,2,3,7.50416577988185,5.83168617640437,0.20827450630015606,17.46771321757014,26.400000000000002,32.166666666666664,0.12,32.708475,143.60329861111111,1.8964362412331104,0.995936722924713,0.30316839619034763,0.9281307825611572,0.3645833333333333,0.1209,-0.7240384848484849,-0.19807677504208754,-0.4085678409090909,-0.8674633259680135,0.7335939435645232,-0.7256168223905723,-0.20072881891835018,-0.4122166629840067,-0.8583669923190236,0.7182300676105343
