Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59
49,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0502667027294375,0.050267,57.863447,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,6,1,1,1,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,1,3,1,3,3,5
50,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0509440964032531,0.050944,57.479899,0.01,0,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,3,3,3,3,5,5,5,2,2,2,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,2,2,3,3,3,3,3,2,5,2,2,6
51,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0408207475161191,0.040821,55.405708,0.01,0,3,3,3,3,3,3,3,3,3,3,2,2,3,6,6,6,1,1,1,1,5,5,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1,5,3,5,3,3,2
52,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,6,2.8,0.03072620440378,0.030726,60.598726,0.01,0,2,2,2,2,3,2,3,3,2,3,3,3,3,3,3,3,1,4,4,1,1,1,5,2,2,2,2,6,6,6,6,6,6,6,6,6,6,2,2,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,2,1,2,2,5
53,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.048057305797169,0.048057,58.46768,0.01,0,2,2,2,4,2,2,2,4,2,1,2,2,2,1,1,1,5,5,5,5,5,4,6,2,2,2,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,5,5,5,5,5,2,4,2,2,6
54,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0348826118258319,0.034883,49.699018,0.01,0,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,5,5,5,5,5,5,1,4,4,4,1,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,5,5,4,5,4,4,2
55,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.0641284780406891,0.064128,72.284801,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,3,1,1,3
56,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0641203953122739,0.06412,66.873891,0.01,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,2,2,2,2,2,3,1,1,1,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,1,1,2,2,2,2,2,1,3,1,1,3
57,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0504169823154325,0.050417,69.11174,0.01,0,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,1,1,1,1,1,1,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,4,2,2,1,1,1,1,1,2,4,2,2,4
58,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,4,2.8,0.0438462292626646,0.043846,33.268205,0.01,0,2,2,2,2,2,2,2,2,2,4,4,4,2,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,1,1,1,1,1,2,4,2,2,4
59,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0382624171207479,0.038262,72.284801,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,1,2,1,2,2,1
60,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0343353297232921,0.034335,41.429755,0.01,0,3,3,3,4,2,3,2,2,3,2,2,2,3,2,2,2,1,1,1,1,1,1,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,3,2,1,1,1,1,1,3,2,3,3,4
61,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0593606090647533,0.059361,53.949764,0.01,0,2,2,2,2,2,2,2,2,2,3,3,3,2,5,5,5,4,5,5,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,2,2,5,5,5,5,4,2,3,2,2,3
62,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0414986081921899,0.041499,69.256054,0.01,0,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,5,3,3,5,5,5,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,2,4,2,2,4
63,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0300984620155332,0.030098,54.049728,0.01,0,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,4,2,2,5
64,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,5,2.8,0.0650682065539341,0.065068,57.536694,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,5,5,4,4,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,4,4,2,4,3
65,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0531205378965504,0.053121,63.487377,0.01,0,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4,1,1,1,1,4,4,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1,4,3,4,3,3,2
66,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0336846481917542,0.033685,59.967866,0.01,0,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,1,1,1,1,3,3,2,4,4,4,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,3,4,4,2
67,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.04788247281228,0.047882,54.685249,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,5,5,5,1,1,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,1,3,1,3,3,6
