site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,turb_event_max,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,q_event_max,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,diff_airT_soilT,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells
Hungerford,turb_kg_km2,2018-11-01 18:45:00,fall,2,5,6,92.91506111048734,3.2526156105935087,63.169223761342295,914.6495007709808,231.39466666666667,49.800000000000004,95.75,0.12,60.96418625,6.037718507,28,0.3254987524609375,0.32090568747878784,0.6408016949765233,2.5729166666666665,1.1771180555555558,-0.4348603745791246,-0.2870871212121212,-0.47728031776094276,-1.0396715067340068,0.6385694979337159,-0.46030776515151517,-0.31056761100589225,-0.49601206465698655,-1.0646415982744108,0.5893547206745867
Hungerford,turb_kg_km2,2018-11-06 16:00:00,fall,1,4,4,24.086353335787585,0.20721800828763287,257.0370470659744,30.257952432640014,13.082666666666666,5.6000000000000005,8.166666666666666,0.08,28.1039325,1.394177891,31.98871527777778,1.9111885131223958,0.2894685942997417,0.9107489941510728,1.1145833333333333,1.0778472222222222,-0.3808382786195286,-0.22570401936026938,-0.4562995580808081,-0.9747807796717172,0.7110109170339529,-0.33293592171717173,-0.17994723274410773,-0.38104164299242427,-0.8351004563867845,0.7915149032301436
Hungerford,turb_kg_km2,2018-11-09 22:45:00,fall,1,4,4,40.110324621517265,0.7960216402481005,111.42521167438869,136.69023555063714,45.122,18.8,17.25,0.08,23.3783825,2.97838915,40.7421875,0.8295496154609375,0.31230747009864374,0.8154555876092804,1.2916666666666667,-4.433923611111112,-0.41072969276094273,-0.2620077861952862,-0.4977909880050505,-1.0407049663299663,0.6546013187650298,-0.38264334648569026,-0.2303389746422559,-0.45790974878998314,-0.9934110535037879,0.6869225259582127
Hungerford,turb_kg_km2,2018-11-13 10:15:00,fall,1,4,4,15.051481161757572,0.056738414809170155,586.6164085474411,18.572806380879626,9.552666666666667,7.4,14.666666666666666,0.08,23.18565125,1.462271829,56.197916666666664,1.151776101734375,0.1889195401529786,0.9228180588436327,1.0208333333333333,-0.4331597222222223,-0.3589439183501683,-0.20828503787878788,-0.43924736952861954,-1.0030052609427609,0.7169478299291719,-0.3403773937289562,-0.19150852272727273,-0.4008728046085859,-0.9352546314709596,0.750422101399858
Hungerford,turb_kg_km2,2018-11-25 06:30:00,fall,1,2,5,73.70495668681839,7.171310086855625,22.7274315747286,504.80759766493236,111.43066666666667,13.600000000000001,100,0.08,14.740000000000002,3.621105828,68.95138888888889,0.3390586754661458,0.12984190222233447,0.7844188252432636,10.166666666666666,-0.663298611111111,-0.401888468013468,-0.2520626052188552,-0.5064837962962964,-1.0246081649831649,0.6538011913035594,-0.4099762084385522,-0.25921765940656566,-0.5086151499368687,-1.0425584227693603,0.6256721353974416
Hungerford,turb_kg_km2,2019-03-24 13:00:00,spring,1,4,4,NA,NA,NA,NA,NA,18,4.583333333333333,0.12,23.46915,2.77137381717116,100.66666666666667,1.691232234710744,0.0042280022485600205,0.6816716135510088,0.020833333333333332,-4.319409722222222,NA,-0.23487184343434342,NA,-0.6864307207491582,0.885182236030952,NA,-0.22075270938552188,NA,-0.6172770415088384,0.9002484531560198
Hungerford,turb_kg_km2,2019-03-25 12:30:00,spring,1,4,4,NA,NA,NA,NA,NA,0.2,0.08333333333333333,0.04,22.071897499999995,2.69346792610361,115.58246527777777,2.2258523165881625,0.005504665900881956,0.6886745728238327,0.010416666666666666,-1.7346180555555555,NA,-0.2284436026936027,NA,-0.8236960437710438,0.7934940286680283,NA,-0.22732054924242426,NA,-0.6997782041771885,0.8409592922574354
Hungerford,turb_kg_km2,2019-03-26 06:15:00,spring,1,4,4,NA,NA,NA,NA,NA,0,0,0,20.344630000000002,2.91298028694379,141.78645833333334,2.594537891928333,0.003376893147012065,0.700505658364086,0,-6.249340277777778,NA,-0.23262415824915825,NA,-0.8940888920454545,0.7427092939317217,NA,-0.22898245475589227,NA,-0.7508265503998316,0.8054887298220601
Hungerford,turb_kg_km2,2019-03-26 13:00:00,spring,1,4,4,NA,NA,NA,NA,NA,0,0,0,18.408767499999996,2.55805825380299,167.98350694444446,2.666103154216464,0.0038024476977860425,0.7020279051914932,0.010416666666666666,-6.583402777777778,NA,-0.23410984848484848,NA,-0.9076810248316498,0.7325616617006783,NA,-0.23002993476430977,NA,-0.7705539280829125,0.7915763000043812
Hungerford,turb_kg_km2,2019-03-27 03:45:00,spring,1,4,4,NA,NA,NA,NA,NA,0,0,0,15.613249999999999,2.73659404398234,192.61024305555554,2.523032056970484,0.0042280022485600205,0.7121136360369,0.09375,-7.3334375,NA,-0.23683385942760943,NA,-0.9281756670875421,0.717017120256129,NA,-0.23257260101010102,NA,-0.8198931563026094,0.7568195907372456
